page,locus,paragraph,line_in_paragraph,word_index_in_line,word,class,state_1,state_2,output,depth_after_output,word_length,terminates
f2r,f2r.1,1,1,1,kydainy,START,PARAGRAPH_START,PARAGRAPH_START,k,1,7,0
f2r,f2r.1,1,1,1,kydainy,SECOND,SPACE,k,y,2,7,0
f2r,f2r.1,1,1,1,kydainy,INTERNAL,k,y,d,3,7,0
f2r,f2r.1,1,1,1,kydainy,INTERNAL,y,d,a,4,7,0
f2r,f2r.1,1,1,1,kydainy,INTERNAL,d,a,i,5,7,0
f2r,f2r.1,1,1,1,kydainy,INTERNAL,a,i,n,6,7,0
f2r,f2r.1,1,1,1,kydainy,INTERNAL,i,n,y,7,7,1
f2r,f2r.1,1,1,2,ypchol,BOUNDARY,y,SPACE,y,1,5,0
f2r,f2r.1,1,1,2,ypchol,SECOND,SPACE,y,p,2,5,0
f2r,f2r.1,1,1,2,ypchol,INTERNAL,y,p,ch,3,5,0
f2r,f2r.1,1,1,2,ypchol,INTERNAL,p,ch,o,4,5,0
f2r,f2r.1,1,1,2,ypchol,INTERNAL,ch,o,l,5,5,1
f2r,f2r.1,1,1,3,daiin,BOUNDARY,l,SPACE,d,1,5,0
f2r,f2r.1,1,1,3,daiin,SECOND,SPACE,d,a,2,5,0
f2r,f2r.1,1,1,3,daiin,INTERNAL,d,a,i,3,5,0
f2r,f2r.1,1,1,3,daiin,INTERNAL,a,i,i,4,5,0
f2r,f2r.1,1,1,3,daiin,INTERNAL,i,i,n,5,5,1
f2r,f2r.1,1,1,4,otchal,BOUNDARY,n,SPACE,o,1,5,0
f2r,f2r.1,1,1,4,otchal,SECOND,SPACE,o,t,2,5,0
f2r,f2r.1,1,1,4,otchal,INTERNAL,o,t,ch,3,5,0
f2r,f2r.1,1,1,4,otchal,INTERNAL,t,ch,a,4,5,0
f2r,f2r.1,1,1,4,otchal,INTERNAL,ch,a,l,5,5,1
f2r,f2r.1,1,1,5,ypchaiin,BOUNDARY,l,SPACE,y,1,7,0
f2r,f2r.1,1,1,5,ypchaiin,SECOND,SPACE,y,p,2,7,0
f2r,f2r.1,1,1,5,ypchaiin,INTERNAL,y,p,ch,3,7,0
f2r,f2r.1,1,1,5,ypchaiin,INTERNAL,p,ch,a,4,7,0
f2r,f2r.1,1,1,5,ypchaiin,INTERNAL,ch,a,i,5,7,0
f2r,f2r.1,1,1,5,ypchaiin,INTERNAL,a,i,i,6,7,0
f2r,f2r.1,1,1,5,ypchaiin,INTERNAL,i,i,n,7,7,1
f2r,f2r.1,1,1,6,ckholsy,BOUNDARY,n,SPACE,ckh,1,5,0
f2r,f2r.1,1,1,6,ckholsy,SECOND,SPACE,ckh,o,2,5,0
f2r,f2r.1,1,1,6,ckholsy,INTERNAL,ckh,o,l,3,5,0
f2r,f2r.1,1,1,6,ckholsy,INTERNAL,o,l,s,4,5,0
f2r,f2r.1,1,1,6,ckholsy,INTERNAL,l,s,y,5,5,1
f2r,f2r.2,1,2,1,dorchory,RESTART,SPACE,SPACE,d,1,7,0
f2r,f2r.2,1,2,1,dorchory,SECOND,SPACE,d,o,2,7,0
f2r,f2r.2,1,2,1,dorchory,INTERNAL,d,o,r,3,7,0
f2r,f2r.2,1,2,1,dorchory,INTERNAL,o,r,ch,4,7,0
f2r,f2r.2,1,2,1,dorchory,INTERNAL,r,ch,o,5,7,0
f2r,f2r.2,1,2,1,dorchory,INTERNAL,ch,o,r,6,7,0
f2r,f2r.2,1,2,1,dorchory,INTERNAL,o,r,y,7,7,1
f2r,f2r.2,1,2,2,chkar,BOUNDARY,y,SPACE,ch,1,4,0
f2r,f2r.2,1,2,2,chkar,SECOND,SPACE,ch,k,2,4,0
f2r,f2r.2,1,2,2,chkar,INTERNAL,ch,k,a,3,4,0
f2r,f2r.2,1,2,2,chkar,INTERNAL,k,a,r,4,4,1
f2r,f2r.2,1,2,3,s,BOUNDARY,r,SPACE,s,1,1,1
f2r,f2r.2,1,2,4,shor,BOUNDARY,s,SPACE,sh,1,3,0
f2r,f2r.2,1,2,4,shor,SECOND,SPACE,sh,o,2,3,0
f2r,f2r.2,1,2,4,shor,INTERNAL,sh,o,r,3,3,1
f2r,f2r.2,1,2,5,cthy,BOUNDARY,r,SPACE,cth,1,2,0
f2r,f2r.2,1,2,5,cthy,SECOND,SPACE,cth,y,2,2,1
f2r,f2r.3,1,3,1,qotaiin,RESTART,SPACE,SPACE,q,1,7,0
f2r,f2r.3,1,3,1,qotaiin,SECOND,SPACE,q,o,2,7,0
f2r,f2r.3,1,3,1,qotaiin,INTERNAL,q,o,t,3,7,0
f2r,f2r.3,1,3,1,qotaiin,INTERNAL,o,t,a,4,7,0
f2r,f2r.3,1,3,1,qotaiin,INTERNAL,t,a,i,5,7,0
f2r,f2r.3,1,3,1,qotaiin,INTERNAL,a,i,i,6,7,0
f2r,f2r.3,1,3,1,qotaiin,INTERNAL,i,i,n,7,7,1
f2r,f2r.3,1,3,2,cthey,BOUNDARY,n,SPACE,cth,1,3,0
f2r,f2r.3,1,3,2,cthey,SECOND,SPACE,cth,e,2,3,0
f2r,f2r.3,1,3,2,cthey,INTERNAL,cth,e,y,3,3,1
f2r,f2r.3,1,3,3,y,BOUNDARY,y,SPACE,y,1,1,1
f2r,f2r.3,1,3,4,chor,BOUNDARY,y,SPACE,ch,1,3,0
f2r,f2r.3,1,3,4,chor,SECOND,SPACE,ch,o,2,3,0
f2r,f2r.3,1,3,4,chor,INTERNAL,ch,o,r,3,3,1
f2r,f2r.3,1,3,5,chy,BOUNDARY,r,SPACE,ch,1,2,0
f2r,f2r.3,1,3,5,chy,SECOND,SPACE,ch,y,2,2,1
f2r,f2r.3,1,3,6,ydy,BOUNDARY,y,SPACE,y,1,3,0
f2r,f2r.3,1,3,6,ydy,SECOND,SPACE,y,d,2,3,0
f2r,f2r.3,1,3,6,ydy,INTERNAL,y,d,y,3,3,1
f2r,f2r.3,1,3,7,chaiin,BOUNDARY,y,SPACE,ch,1,5,0
f2r,f2r.3,1,3,7,chaiin,SECOND,SPACE,ch,a,2,5,0
f2r,f2r.3,1,3,7,chaiin,INTERNAL,ch,a,i,3,5,0
f2r,f2r.3,1,3,7,chaiin,INTERNAL,a,i,i,4,5,0
f2r,f2r.3,1,3,7,chaiin,INTERNAL,i,i,n,5,5,1
f2r,f2r.4,1,4,1,chtod,RESTART,SPACE,SPACE,ch,1,4,0
f2r,f2r.4,1,4,1,chtod,SECOND,SPACE,ch,t,2,4,0
f2r,f2r.4,1,4,1,chtod,INTERNAL,ch,t,o,3,4,0
f2r,f2r.4,1,4,1,chtod,INTERNAL,t,o,d,4,4,1
f2r,f2r.4,1,4,2,dy,BOUNDARY,d,SPACE,d,1,2,0
f2r,f2r.4,1,4,2,dy,SECOND,SPACE,d,y,2,2,1
f2r,f2r.4,1,4,3,cphy,BOUNDARY,y,SPACE,cph,1,2,0
f2r,f2r.4,1,4,3,cphy,SECOND,SPACE,cph,y,2,2,1
f2r,f2r.4,1,4,4,dals,BOUNDARY,y,SPACE,d,1,4,0
f2r,f2r.4,1,4,4,dals,SECOND,SPACE,d,a,2,4,0
f2r,f2r.4,1,4,4,dals,INTERNAL,d,a,l,3,4,0
f2r,f2r.4,1,4,4,dals,INTERNAL,a,l,s,4,4,1
f2r,f2r.4,1,4,5,chokaiin,BOUNDARY,s,SPACE,ch,1,7,0
f2r,f2r.4,1,4,5,chokaiin,SECOND,SPACE,ch,o,2,7,0
f2r,f2r.4,1,4,5,chokaiin,INTERNAL,ch,o,k,3,7,0
f2r,f2r.4,1,4,5,chokaiin,INTERNAL,o,k,a,4,7,0
f2r,f2r.4,1,4,5,chokaiin,INTERNAL,k,a,i,5,7,0
f2r,f2r.4,1,4,5,chokaiin,INTERNAL,a,i,i,6,7,0
f2r,f2r.4,1,4,5,chokaiin,INTERNAL,i,i,n,7,7,1
f2r,f2r.4,1,4,6,d,BOUNDARY,n,SPACE,d,1,1,1
f2r,f2r.5,1,5,1,otochor,RESTART,SPACE,SPACE,o,1,6,0
f2r,f2r.5,1,5,1,otochor,SECOND,SPACE,o,t,2,6,0
f2r,f2r.5,1,5,1,otochor,INTERNAL,o,t,o,3,6,0
f2r,f2r.5,1,5,1,otochor,INTERNAL,t,o,ch,4,6,0
f2r,f2r.5,1,5,1,otochor,INTERNAL,o,ch,o,5,6,0
f2r,f2r.5,1,5,1,otochor,INTERNAL,ch,o,r,6,6,1
f2r,f2r.5,1,5,2,al,BOUNDARY,r,SPACE,a,1,2,0
f2r,f2r.5,1,5,2,al,SECOND,SPACE,a,l,2,2,1
f2r,f2r.5,1,5,3,shodaiin,BOUNDARY,l,SPACE,sh,1,7,0
f2r,f2r.5,1,5,3,shodaiin,SECOND,SPACE,sh,o,2,7,0
f2r,f2r.5,1,5,3,shodaiin,INTERNAL,sh,o,d,3,7,0
f2r,f2r.5,1,5,3,shodaiin,INTERNAL,o,d,a,4,7,0
f2r,f2r.5,1,5,3,shodaiin,INTERNAL,d,a,i,5,7,0
f2r,f2r.5,1,5,3,shodaiin,INTERNAL,a,i,i,6,7,0
f2r,f2r.5,1,5,3,shodaiin,INTERNAL,i,i,n,7,7,1
f2r,f2r.5,1,5,4,chol,BOUNDARY,n,SPACE,ch,1,3,0
f2r,f2r.5,1,5,4,chol,SECOND,SPACE,ch,o,2,3,0
f2r,f2r.5,1,5,4,chol,INTERNAL,ch,o,l,3,3,1
f2r,f2r.5,1,5,5,dan,BOUNDARY,l,SPACE,d,1,3,0
f2r,f2r.5,1,5,5,dan,SECOND,SPACE,d,a,2,3,0
f2r,f2r.5,1,5,5,dan,INTERNAL,d,a,n,3,3,1
f2r,f2r.5,1,5,6,ytchaiin,BOUNDARY,n,SPACE,y,1,7,0
f2r,f2r.5,1,5,6,ytchaiin,SECOND,SPACE,y,t,2,7,0
f2r,f2r.5,1,5,6,ytchaiin,INTERNAL,y,t,ch,3,7,0
f2r,f2r.5,1,5,6,ytchaiin,INTERNAL,t,ch,a,4,7,0
f2r,f2r.5,1,5,6,ytchaiin,INTERNAL,ch,a,i,5,7,0
f2r,f2r.5,1,5,6,ytchaiin,INTERNAL,a,i,i,6,7,0
f2r,f2r.5,1,5,6,ytchaiin,INTERNAL,i,i,n,7,7,1
f2r,f2r.5,1,5,7,dan,BOUNDARY,n,SPACE,d,1,3,0
