class,state_1,state_2,output,depth_after_output,terminates,count
BOUNDARY,d,SPACE,d,1,0,3
BOUNDARY,d,SPACE,sh,1,0,1
BOUNDARY,e,SPACE,ch,1,0,2
BOUNDARY,l,SPACE,ch,1,0,10
BOUNDARY,l,SPACE,cph,1,0,1
BOUNDARY,l,SPACE,cth,1,0,1
BOUNDARY,l,SPACE,d,1,0,15
BOUNDARY,l,SPACE,f,1,0,1
BOUNDARY,l,SPACE,k,1,0,2
BOUNDARY,l,SPACE,o,1,0,1
BOUNDARY,l,SPACE,q,1,0,1
BOUNDARY,l,SPACE,s,1,0,2
BOUNDARY,l,SPACE,sh,1,0,3
BOUNDARY,l,SPACE,y,1,0,2
BOUNDARY,n,SPACE,ch,1,0,11
BOUNDARY,n,SPACE,ckh,1,0,1
BOUNDARY,n,SPACE,cth,1,0,3
BOUNDARY,n,SPACE,d,1,0,6
BOUNDARY,n,SPACE,d,1,1,2
BOUNDARY,n,SPACE,o,1,0,4
BOUNDARY,n,SPACE,o,1,1,1
BOUNDARY,n,SPACE,q,1,0,3
BOUNDARY,n,SPACE,s,1,0,1
BOUNDARY,n,SPACE,s,1,1,1
BOUNDARY,n,SPACE,sh,1,0,8
BOUNDARY,n,SPACE,t,1,0,1
BOUNDARY,n,SPACE,y,1,0,3
BOUNDARY,o,SPACE,ch,1,0,6
BOUNDARY,o,SPACE,d,1,0,2
BOUNDARY,o,SPACE,k,1,0,5
BOUNDARY,o,SPACE,l,1,0,3
BOUNDARY,o,SPACE,l,1,1,1
BOUNDARY,o,SPACE,p,1,0,1
BOUNDARY,o,SPACE,r,1,1,3
BOUNDARY,o,SPACE,sh,1,0,2
BOUNDARY,o,SPACE,t,1,0,1
BOUNDARY,o,SPACE,y,1,0,1
BOUNDARY,r,SPACE,a,1,0,3
BOUNDARY,r,SPACE,ch,1,0,13
BOUNDARY,r,SPACE,ckh,1,0,1
BOUNDARY,r,SPACE,cth,1,0,2
BOUNDARY,r,SPACE,d,1,0,6
BOUNDARY,r,SPACE,l,1,0,1
BOUNDARY,r,SPACE,o,1,0,3
BOUNDARY,r,SPACE,q,1,0,1
BOUNDARY,r,SPACE,s,1,1,1
BOUNDARY,r,SPACE,sh,1,0,5
BOUNDARY,r,SPACE,y,1,0,2
BOUNDARY,s,SPACE,ch,1,0,6
BOUNDARY,s,SPACE,d,1,0,1
BOUNDARY,s,SPACE,o,1,0,1
BOUNDARY,s,SPACE,q,1,0,1
BOUNDARY,s,SPACE,sh,1,0,5
BOUNDARY,sh,SPACE,o,1,0,1
BOUNDARY,y,SPACE,ch,1,0,20
BOUNDARY,y,SPACE,ckh,1,0,1
BOUNDARY,y,SPACE,cph,1,0,1
BOUNDARY,y,SPACE,cth,1,0,4
BOUNDARY,y,SPACE,d,1,0,23
BOUNDARY,y,SPACE,k,1,0,7
BOUNDARY,y,SPACE,o,1,0,4
BOUNDARY,y,SPACE,o,1,1,2
BOUNDARY,y,SPACE,q,1,0,9
BOUNDARY,y,SPACE,s,1,0,2
BOUNDARY,y,SPACE,s,1,1,1
BOUNDARY,y,SPACE,sh,1,0,6
BOUNDARY,y,SPACE,t,1,0,4
BOUNDARY,y,SPACE,y,1,0,4
BOUNDARY,y,SPACE,y,1,1,1
INTERNAL,a,i,i,3,0,1
INTERNAL,a,i,i,4,0,27
INTERNAL,a,i,i,5,0,6
INTERNAL,a,i,i,6,0,8
INTERNAL,a,i,i,7,0,4
INTERNAL,a,i,n,4,1,6
INTERNAL,a,i,n,5,1,2
INTERNAL,a,i,n,6,0,1
INTERNAL,a,i,n,6,1,2
INTERNAL,a,i,r,4,1,2
INTERNAL,a,l,d,4,1,1
INTERNAL,a,l,o,4,0,1
INTERNAL,a,l,s,4,1,1
INTERNAL,a,r,o,4,0,1
INTERNAL,ch,a,i,3,0,2
INTERNAL,ch,a,i,4,0,1
INTERNAL,ch,a,i,5,0,2
INTERNAL,ch,a,l,3,0,1
INTERNAL,ch,a,l,5,1,1
INTERNAL,ch,a,n,3,1,2
INTERNAL,ch,a,r,3,0,1
INTERNAL,ch,ckh,y,3,1,1
INTERNAL,ch,cth,y,3,1,2
INTERNAL,ch,e,a,3,0,1
INTERNAL,ch,e,e,3,0,4
INTERNAL,ch,e,e,4,0,2
INTERNAL,ch,e,e,5,0,1
INTERNAL,ch,e,o,3,0,5
INTERNAL,ch,e,o,3,1,1
INTERNAL,ch,e,o,6,0,1
INTERNAL,ch,e,t,3,0,1
INTERNAL,ch,e,y,3,1,2
INTERNAL,ch,e,y,4,1,3
INTERNAL,ch,e,y,5,1,2
INTERNAL,ch,e,y,6,1,3
INTERNAL,ch,k,a,3,0,1
INTERNAL,ch,k,e,3,0,1
INTERNAL,ch,k,o,3,0,1
INTERNAL,ch,o,a,3,0,1
INTERNAL,ch,o,ch,3,0,2
INTERNAL,ch,o,d,3,0,3
INTERNAL,ch,o,d,4,0,3
INTERNAL,ch,o,d,4,1,1
INTERNAL,ch,o,i,3,0,1
INTERNAL,ch,o,k,3,0,4
INTERNAL,ch,o,l,3,0,2
INTERNAL,ch,o,l,3,1,10
INTERNAL,ch,o,l,4,1,1
INTERNAL,ch,o,l,5,1,2
INTERNAL,ch,o,r,3,0,1
INTERNAL,ch,o,r,3,1,8
INTERNAL,ch,o,r,4,1,4
INTERNAL,ch,o,r,5,1,1
INTERNAL,ch,o,r,6,0,1
INTERNAL,ch,o,r,6,1,1
INTERNAL,ch,o,s,3,0,1
INTERNAL,ch,o,s,4,1,1
INTERNAL,ch,o,t,3,0,4
INTERNAL,ch,t,o,3,0,1
INTERNAL,ch,t,y,3,1,1
INTERNAL,ch,y,k,3,0,1
INTERNAL,ckh,o,l,3,0,1
INTERNAL,ckh,o,r,3,1,1
INTERNAL,cph,e,y,3,1,1
INTERNAL,cth,e,y,3,1,2
INTERNAL,cth,o,l,3,1,2
INTERNAL,cth,o,r,3,1,1
INTERNAL,d,a,i,3,0,28
INTERNAL,d,a,i,4,0,3
INTERNAL,d,a,i,5,0,5
INTERNAL,d,a,i,6,0,4
INTERNAL,d,a,l,3,0,2
INTERNAL,d,a,l,3,1,1
INTERNAL,d,a,n,3,1,4
INTERNAL,d,a,n,5,1,1
INTERNAL,d,ch,e,3,0,2
INTERNAL,d,ch,o,3,0,2
INTERNAL,d,ch,y,3,1,1
INTERNAL,d,e,e,3,0,2
INTERNAL,d,e,o,3,0,1
INTERNAL,d,k,o,3,0,1
INTERNAL,d,l,s,3,1,1
INTERNAL,d,o,d,6,0,1
INTERNAL,d,o,l,3,0,2
INTERNAL,d,o,l,3,1,4
INTERNAL,d,o,r,3,0,1
INTERNAL,d,o,r,3,1,5
INTERNAL,d,sh,o,3,0,1
INTERNAL,d,y,k,3,0,1
INTERNAL,e,a,i,4,0,1
INTERNAL,e,a,r,5,1,1
INTERNAL,e,ch,y,6,1,1
INTERNAL,e,e,a,4,0,1
INTERNAL,e,e,e,4,0,3
INTERNAL,e,e,e,5,0,3
INTERNAL,e,e,e,6,0,2
INTERNAL,e,e,o,4,0,1
INTERNAL,e,e,o,4,1,1
INTERNAL,e,e,o,7,1,1
INTERNAL,e,e,s,4,1,1
INTERNAL,e,e,s,5,1,1
INTERNAL,e,e,s,6,0,1
INTERNAL,e,e,s,6,1,2
INTERNAL,e,e,s,7,1,1
INTERNAL,e,e,y,4,1,7
INTERNAL,e,e,y,5,1,4
INTERNAL,e,e,y,6,1,2
INTERNAL,e,e,y,7,1,1
INTERNAL,e,k,y,4,1,1
INTERNAL,e,o,d,4,0,3
INTERNAL,e,o,d,4,1,1
INTERNAL,e,o,d,5,0,1
INTERNAL,e,o,l,4,1,5
INTERNAL,e,o,r,4,1,1
INTERNAL,e,o,r,7,1,1
INTERNAL,e,o,s,6,1,1
INTERNAL,e,s,e,7,1,1
INTERNAL,e,t,y,4,1,1
INTERNAL,f,ch,o,3,0,1
INTERNAL,f,o,d,3,0,1
INTERNAL,i,i,i,5,0,1
INTERNAL,i,i,l,5,0,1
INTERNAL,i,i,n,4,1,1
INTERNAL,i,i,n,5,0,1
INTERNAL,i,i,n,5,1,22
INTERNAL,i,i,n,6,1,8
INTERNAL,i,i,n,7,1,8
INTERNAL,i,i,n,8,1,4
INTERNAL,i,i,r,5,1,2
INTERNAL,i,i,s,5,0,1
INTERNAL,i,l,d,6,0,1
INTERNAL,i,n,y,6,1,1
INTERNAL,i,n,y,7,1,1
INTERNAL,i,s,o,6,0,1
INTERNAL,i,sh,e,7,1,1
INTERNAL,k,a,i,5,0,1
INTERNAL,k,a,r,4,1,1
INTERNAL,k,ch,e,3,0,1
INTERNAL,k,ch,e,4,0,1
INTERNAL,k,ch,o,3,0,4
INTERNAL,k,ch,o,3,1,2
INTERNAL,k,ch,o,5,1,1
INTERNAL,k,ch,y,3,1,1
INTERNAL,k,ch,y,5,1,4
INTERNAL,k,e,ch,5,0,1
INTERNAL,k,e,e,3,0,2
INTERNAL,k,e,e,4,0,2
INTERNAL,k,e,o,3,0,2
INTERNAL,k,e,o,3,1,1
INTERNAL,k,e,o,5,0,1
INTERNAL,k,e,y,5,1,1
INTERNAL,k,o,d,4,0,1
INTERNAL,k,o,i,5,0,1
INTERNAL,k,o,l,3,1,1
INTERNAL,k,o,l,4,0,1
INTERNAL,k,o,l,4,1,2
INTERNAL,k,o,o,3,0,1
INTERNAL,k,sh,o,3,0,1
INTERNAL,k,sh,o,4,1,1
INTERNAL,k,sh,y,3,1,2
INTERNAL,k,y,d,3,0,2
INTERNAL,l,a,i,5,0,1
INTERNAL,l,d,y,6,1,2
INTERNAL,l,d,y,7,1,1
INTERNAL,l,o,ch,3,0,1
INTERNAL,l,o,d,5,0,1
INTERNAL,l,o,e,3,0,1
INTERNAL,l,o,r,5,1,1
INTERNAL,l,s,a,4,0,1
INTERNAL,l,s,y,5,1,1
INTERNAL,l,sh,e,4,0,1
INTERNAL,l,sh,o,3,0,1
INTERNAL,l,sh,y,3,1,1
INTERNAL,l,y,sh,5,0,1
INTERNAL,o,a,i,3,0,1
INTERNAL,o,a,i,4,0,1
INTERNAL,o,ch,e,4,0,1
INTERNAL,o,ch,o,5,0,1
INTERNAL,o,ch,y,4,1,2
INTERNAL,o,ch,y,6,1,1
INTERNAL,o,d,a,3,0,3
INTERNAL,o,d,a,4,0,4
INTERNAL,o,d,a,5,0,4
INTERNAL,o,d,o,5,0,1
INTERNAL,o,d,y,4,1,2
INTERNAL,o,d,y,5,1,3
INTERNAL,o,d,y,6,1,2
INTERNAL,o,d,y,7,1,1
INTERNAL,o,e,e,3,0,2
