state_1,state_2,output,stop_number,multiplicity,class,safety,reachable_under_published_rules
SPACE,SPACE,q,8,5,RESTART,0,1
SPACE,SPACE,ch,8,5,RESTART,0,1
SPACE,SPACE,sh,8,4,RESTART,0,1
SPACE,SPACE,k,8,1,RESTART,0,1
SPACE,SPACE,o,8,7,RESTART,0,1
SPACE,SPACE,d,8,9,RESTART,0,1
SPACE,SPACE,s,1,2,RESTART,0,1
SPACE,SPACE,s,8,1,RESTART,0,1
SPACE,SPACE,y,8,1,RESTART,0,1
SPACE,a,i,8,1,SECOND,0,1
SPACE,a,l,2,1,SECOND,0,1
SPACE,a,n,1,1,SECOND,0,1
SPACE,ch,cth,8,1,SECOND,0,1
SPACE,ch,ckh,8,1,SECOND,0,1
SPACE,ch,k,8,2,SECOND,0,1
SPACE,ch,o,2,1,SECOND,0,1
SPACE,ch,o,8,14,SECOND,0,1
SPACE,ch,t,8,1,SECOND,0,1
SPACE,ch,a,8,3,SECOND,0,1
SPACE,ch,e,8,6,SECOND,0,1
SPACE,ch,y,2,2,SECOND,0,1
SPACE,ch,y,8,1,SECOND,0,1
SPACE,ch,r,1,1,SECOND,0,1
SPACE,ckh,o,8,2,SECOND,0,1
SPACE,ckh,y,1,1,SECOND,0,1
SPACE,cph,e,8,1,SECOND,0,1
SPACE,cph,y,1,1,SECOND,0,1
SPACE,cth,o,8,2,SECOND,0,1
SPACE,cth,d,1,1,SECOND,0,1
SPACE,cth,e,8,1,SECOND,0,1
SPACE,cth,y,1,2,SECOND,0,1
SPACE,d,ch,8,3,SECOND,0,1
SPACE,d,sh,8,1,SECOND,0,1
SPACE,d,k,8,1,SECOND,0,1
SPACE,d,o,8,6,SECOND,0,1
SPACE,d,a,8,15,SECOND,0,1
SPACE,d,e,8,2,SECOND,0,1
SPACE,d,l,8,1,SECOND,0,1
SPACE,d,y,2,2,SECOND,0,1
SPACE,d,y,8,1,SECOND,0,1
SPACE,f,ch,8,1,SECOND,0,1
SPACE,f,o,8,1,SECOND,0,1
SPACE,k,ch,8,3,SECOND,0,1
SPACE,k,sh,8,1,SECOND,0,1
SPACE,k,o,8,1,SECOND,0,1
