section,metric,paper_target,reproduced_value,absolute_difference,status,note
Corpus audit,A2 tokens,297,297,0.0,exact,
Corpus audit,A2 types,195,195,0.0,exact,
Corpus audit,Herbal_A tokens,7694,7694,0.0,exact,
Corpus audit,Herbal_A types,2270,2270,0.0,exact,
Corpus audit,full_VM_ngram tokens,37608,37608,0.0,exact,
Corpus audit,full_VM_ngram types,7457,7457,0.0,exact,
Corpus audit,strict_VM_attestation tokens,37597,37597,0.0,exact,
Corpus audit,strict_VM_attestation types,7455,7455,0.0,exact,
Table 1,Analyzed tokens,6765,6765,0.0,exact_to_printed_precision,
Table 1,Covered tokens,6747,6747,0.0,exact_to_printed_precision,
Table 1,Observed types,2012,2012,0.0,exact_to_printed_precision,
Table 1,Covered types,1994,1994,0.0,exact_to_printed_precision,
Table 1,Transitions,20207,20207,0.0,exact_to_printed_precision,
Table 1,Forward rate,0.6164,0.6163705646558123,2.943534418764493e-05,exact_to_printed_precision,
Table 1,Same-layer rate,0.2323,0.23234522690156875,4.522690156874565e-05,exact_to_printed_precision,
Table 1,Backward rate,0.1513,0.1512842084426189,1.5791557381100718e-05,exact_to_printed_precision,
Table 1,Randomized backward mean,0.3965,0.3964944365813826,5.563418617404725e-06,exact_to_printed_precision,
Table 1,Zero-back words,0.6172,0.617163183637172,3.681636282792944e-05,exact_to_printed_precision,
Table 1,Zero/one-back words,0.9342,0.9341929746554024,7.025344597622052e-06,exact_to_printed_precision,
Table 1,Minimum bifolium back rate,0.1039,0.1039426523297491,4.2652329749093276e-05,exact_to_printed_precision,
Table 1,Maximum bifolium back rate,0.1919,0.19190283400809716,2.8340080971689385e-06,exact_to_printed_precision,
Table 1,Randomization plus-one tail,4e-05,3.999920001599968e-05,7.999840003218746e-10,exact_to_printed_precision,
Table 2,Layer only top1,0.2738,0.27380952380952384,9.523809523848126e-06,exact_to_printed_precision,
Table 2,Layer only top3,0.5714,0.5714285714285714,2.8571428571377844e-05,exact_to_printed_precision,
Table 2,Layer only one_to_one,0.2262,0.22619047619047616,9.523809523848126e-06,exact_to_printed_precision,
Table 2,Full top1,0.381,0.38095238095238093,4.7619047619074095e-05,exact_to_printed_precision,
Table 2,Full top3,0.7619,0.7619047619047619,4.761904761840796e-06,exact_to_printed_precision,
Table 2,Full one_to_one,0.4286,0.4285714285714286,2.8571428571377844e-05,exact_to_printed_precision,
N-gram bifolium classification,2-gram top1,0.3127,0.31397619047619335,0.0012761904761933729,monte_carlo_near_match,"The original 2,000 holdout configurations and seed were not preserved; a new fixed seed is archived."
N-gram bifolium classification,2-gram one_to_one,0.2911,0.29069047619047833,0.00040952380952169465,monte_carlo_near_match,"The original 2,000 holdout configurations and seed were not preserved; a new fixed seed is archived."
N-gram bifolium classification,2-gram top3,0.6177,0.6153571428571454,0.0023428571428546485,monte_carlo_near_match,"The original 2,000 holdout configurations and seed were not preserved; a new fixed seed is archived."
N-gram bifolium classification,3-gram top1,0.2559,0.25530952380952515,0.0005904761904748645,monte_carlo_near_match,"The original 2,000 holdout configurations and seed were not preserved; a new fixed seed is archived."
