state_1,state_2,output,stop_number,multiplicity,class,safety
SPACE,SPACE,q,8,4,RESTART,0
SPACE,SPACE,ch,8,4,RESTART,0
SPACE,SPACE,sh,8,3,RESTART,0
SPACE,SPACE,k,8,1,RESTART,0
SPACE,SPACE,o,8,5,RESTART,0
SPACE,SPACE,d,8,6,RESTART,0
SPACE,SPACE,s,1,2,RESTART,0
SPACE,SPACE,s,8,1,RESTART,0
SPACE,SPACE,y,8,1,RESTART,0
SPACE,q,k,8,1,SECOND,0
SPACE,q,o,8,7,SECOND,0
SPACE,ch,cth,8,1,SECOND,0
SPACE,ch,ckh,8,1,SECOND,0
SPACE,ch,k,8,2,SECOND,0
SPACE,ch,o,2,1,SECOND,0
SPACE,ch,o,8,10,SECOND,0
SPACE,ch,t,8,1,SECOND,0
SPACE,ch,a,8,2,SECOND,0
SPACE,ch,e,8,4,SECOND,0
SPACE,ch,y,2,2,SECOND,0
SPACE,ch,y,8,1,SECOND,0
SPACE,ch,r,1,1,SECOND,0
SPACE,cph,e,8,1,SECOND,0
SPACE,cph,y,1,1,SECOND,0
SPACE,cth,o,8,2,SECOND,0
SPACE,cth,d,1,1,SECOND,0
SPACE,cth,e,8,1,SECOND,0
SPACE,cth,y,1,2,SECOND,0
SPACE,p,ch,8,1,SECOND,0
SPACE,p,o,8,1,SECOND,0
SPACE,sh,ckh,8,1,SECOND,0
SPACE,sh,o,2,2,SECOND,0
SPACE,sh,o,8,4,SECOND,0
SPACE,sh,t,8,1,SECOND,0
SPACE,sh,a,8,1,SECOND,0
SPACE,sh,e,8,4,SECOND,0
SPACE,sh,y,1,1,SECOND,0
SPACE,ckh,o,8,2,SECOND,0
SPACE,ckh,y,1,1,SECOND,0
SPACE,f,ch,8,1,SECOND,0
SPACE,f,o,8,1,SECOND,0
SPACE,k,ch,8,2,SECOND,0
SPACE,k,sh,8,1,SECOND,0
SPACE,k,o,8,1,SECOND,0
SPACE,k,e,8,2,SECOND,0
SPACE,k,y,8,1,SECOND,0
SPACE,o,k,8,1,SECOND,0
SPACE,o,t,8,2,SECOND,0
SPACE,o,a,8,1,SECOND,0
SPACE,o,d,8,1,SECOND,0
SPACE,o,e,8,1,SECOND,0
SPACE,o,l,8,1,SECOND,0
SPACE,t,ch,8,2,SECOND,0
SPACE,t,sh,8,1,SECOND,0
SPACE,t,e,8,1,SECOND,0
SPACE,t,y,1,1,SECOND,0
SPACE,a,i,8,1,SECOND,0
SPACE,a,l,2,1,SECOND,0
SPACE,a,n,1,1,SECOND,0
SPACE,d,ch,8,2,SECOND,0
SPACE,d,sh,8,1,SECOND,0
SPACE,d,k,8,1,SECOND,0
SPACE,d,o,8,4,SECOND,0
SPACE,d,a,8,11,SECOND,0
SPACE,d,e,8,2,SECOND,0
SPACE,d,l,8,1,SECOND,0
SPACE,d,y,2,2,SECOND,0
SPACE,d,y,8,1,SECOND,0
SPACE,s,o,2,1,SECOND,0
SPACE,s,a,8,2,SECOND,0
SPACE,l,sh,8,1,SECOND,0
SPACE,l,o,8,1,SECOND,0
SPACE,y,ch,8,1,SECOND,0
SPACE,y,p,8,1,SECOND,0
SPACE,y,k,8,2,SECOND,0
SPACE,y,o,8,1,SECOND,0
SPACE,y,t,8,2,SECOND,0
SPACE,y,d,8,1,SECOND,0
q,SPACE,ch,8,1,BOUNDARY,1
q,k,o,7,1,INTERNAL,0
q,o,p,7,1,INTERNAL,0
q,o,k,4,1,INTERNAL,0
q,o,k,5,1,INTERNAL,0
q,o,k,7,1,INTERNAL,0
q,o,o,7,1,INTERNAL,0
q,o,t,4,1,INTERNAL,0
q,o,t,5,1,INTERNAL,0
q,o,t,7,1,INTERNAL,0
q,o,t,8,1,INTERNAL,0
q,o,s,7,1,INTERNAL,0
q,o,y,1,1,INTERNAL,0
cfh,SPACE,ch,8,1,BOUNDARY,1
ch,SPACE,ch,8,1,BOUNDARY,1
ch,cth,y,1,1,INTERNAL,0
ch,ckh,y,1,1,INTERNAL,0
ch,k,o,7,1,INTERNAL,0
ch,k,a,7,1,INTERNAL,0
ch,k,e,7,1,INTERNAL,0
ch,o,ch,5,1,INTERNAL,0
ch,o,k,4,1,INTERNAL,0
ch,o,k,7,1,INTERNAL,0
ch,o,t,4,1,INTERNAL,0
ch,o,t,7,1,INTERNAL,0
ch,o,a,7,1,INTERNAL,0
ch,o,d,4,1,INTERNAL,0
ch,o,d,7,1,INTERNAL,0
ch,o,d,8,1,INTERNAL,0
ch,o,s,7,1,INTERNAL,0
ch,o,i,8,1,INTERNAL,0
ch,o,l,2,1,INTERNAL,0
ch,o,l,3,2,INTERNAL,0
ch,o,l,7,1,INTERNAL,0
ch,o,l,8,1,INTERNAL,0
ch,o,r,1,1,INTERNAL,0
ch,o,r,3,2,INTERNAL,0
ch,o,r,7,1,INTERNAL,0
ch,o,r,8,1,INTERNAL,0
ch,t,o,7,1,INTERNAL,0
ch,t,y,1,1,INTERNAL,0
ch,a,i,7,1,INTERNAL,0
ch,a,i,8,1,INTERNAL,0
ch,a,l,3,1,INTERNAL,0
ch,a,r,3,1,INTERNAL,0
ch,a,n,1,1,INTERNAL,0
ch,e,o,5,1,INTERNAL,0
ch,e,o,7,1,INTERNAL,0
ch,e,o,8,1,INTERNAL,0
ch,e,t,7,1,INTERNAL,0
ch,e,a,7,1,INTERNAL,0
ch,e,e,6,1,INTERNAL,0
ch,e,e,7,1,INTERNAL,0
ch,e,e,8,1,INTERNAL,0
ch,e,y,1,3,INTERNAL,0
ch,y,k,7,1,INTERNAL,0
cph,SPACE,ch,8,1,BOUNDARY,1
cph,e,y,1,1,INTERNAL,0
cth,SPACE,ch,8,1,BOUNDARY,1
cth,o,l,3,1,INTERNAL,0
cth,o,l,7,1,INTERNAL,0
cth,o,r,3,1,INTERNAL,0
cth,e,y,1,1,INTERNAL,0
p,SPACE,ch,8,1,BOUNDARY,1
p,ch,o,5,1,INTERNAL,0
p,ch,o,7,1,INTERNAL,0
p,ch,a,7,1,INTERNAL,0
p,ch,e,7,1,INTERNAL,0
p,ch,y,2,1,INTERNAL,0
p,o,l,3,1,INTERNAL,0
sh,SPACE,o,8,1,BOUNDARY,0
sh,ckh,y,1,1,INTERNAL,0
sh,o,p,7,1,INTERNAL,0
sh,o,d,4,1,INTERNAL,0
sh,o,d,7,1,INTERNAL,0
sh,o,l,3,2,INTERNAL,0
sh,o,l,7,1,INTERNAL,0
sh,o,l,8,1,INTERNAL,0
sh,o,y,1,1,INTERNAL,0
sh,o,r,1,1,INTERNAL,0
sh,o,r,3,1,INTERNAL,0
sh,t,y,1,1,INTERNAL,0
sh,a,i,8,1,INTERNAL,0
sh,a,n,1,1,INTERNAL,0
sh,e,k,7,1,INTERNAL,0
sh,e,o,5,1,INTERNAL,0
sh,e,o,7,1,INTERNAL,0
sh,e,e,6,1,INTERNAL,0
sh,e,e,7,1,INTERNAL,0
sh,e,e,8,1,INTERNAL,0
sh,e,y,1,2,INTERNAL,0
ckh,SPACE,ch,8,1,BOUNDARY,1
ckh,o,l,3,1,INTERNAL,0
ckh,o,r,3,1,INTERNAL,0
f,SPACE,ch,8,1,BOUNDARY,1
f,ch,o,7,1,INTERNAL,0
f,o,d,7,1,INTERNAL,0
k,SPACE,ch,8,1,BOUNDARY,1
k,ch,o,5,1,INTERNAL,0
k,ch,o,7,1,INTERNAL,0
k,ch,e,7,1,INTERNAL,0
k,ch,y,2,1,INTERNAL,0
k,ch,y,3,1,INTERNAL,0
k,sh,o,7,1,INTERNAL,0
k,sh,y,1,1,INTERNAL,0
k,o,o,7,1,INTERNAL,0
k,o,d,7,1,INTERNAL,0
k,o,i,8,1,INTERNAL,0
k,o,l,3,1,INTERNAL,0
k,o,l,7,1,INTERNAL,0
k,o,l,8,1,INTERNAL,0
k,a,i,8,1,INTERNAL,0
k,a,r,3,1,INTERNAL,0
k,e,ch,5,1,INTERNAL,0
k,e,o,5,1,INTERNAL,0
k,e,o,7,1,INTERNAL,0
k,e,e,6,1,INTERNAL,0
k,e,e,7,1,INTERNAL,0
k,e,y,1,1,INTERNAL,0
k,y,d,7,1,INTERNAL,0
o,SPACE,ch,8,2,BOUNDARY,0
o,SPACE,p,8,1,BOUNDARY,0
o,SPACE,sh,8,1,BOUNDARY,0
o,SPACE,k,8,2,BOUNDARY,0
o,SPACE,t,8,1,BOUNDARY,0
o,SPACE,d,8,1,BOUNDARY,0
o,SPACE,l,1,1,BOUNDARY,0
o,SPACE,l,8,1,BOUNDARY,0
o,SPACE,y,8,1,BOUNDARY,0
o,SPACE,r,1,2,BOUNDARY,0
o,ch,o,7,1,INTERNAL,0
o,ch,e,7,1,INTERNAL,0
o,ch,y,2,1,INTERNAL,0
o,ch,y,3,1,INTERNAL,0
o,p,ch,5,1,INTERNAL,0
o,k,ch,5,1,INTERNAL,0
o,k,ch,7,1,INTERNAL,0
o,k,ch,8,1,INTERNAL,0
o,k,sh,7,1,INTERNAL,0
o,k,o,5,1,INTERNAL,0
o,k,o,7,1,INTERNAL,0
o,k,a,7,1,INTERNAL,0
o,k,e,6,1,INTERNAL,0
o,k,e,7,1,INTERNAL,0
o,k,y,2,1,INTERNAL,0
o,o,s,7,1,INTERNAL,0
o,o,i,8,1,INTERNAL,0
o,t,ch,5,1,INTERNAL,0
o,t,ch,7,1,INTERNAL,0
o,t,ch,8,1,INTERNAL,0
o,t,sh,7,1,INTERNAL,0
o,t,o,7,1,INTERNAL,0
o,t,a,7,1,INTERNAL,0
o,t,e,7,1,INTERNAL,0
o,t,y,1,1,INTERNAL,0
o,a,i,8,1,INTERNAL,0
o,d,o,7,1,INTERNAL,0
o,d,a,5,1,INTERNAL,0
o,d,a,6,1,INTERNAL,0
o,d,a,7,1,INTERNAL,0
o,d,a,8,1,INTERNAL,0
o,d,y,2,2,INTERNAL,0
o,d,y,3,1,INTERNAL,0
o,e,e,7,1,INTERNAL,0
o,s,ch,5,1,INTERNAL,0
o,i,sh,7,1,INTERNAL,0
o,i,i,7,1,INTERNAL,0
o,i,i,8,1,INTERNAL,0
o,l,sh,7,1,INTERNAL,0
o,l,o,5,1,INTERNAL,0
o,l,o,7,1,INTERNAL,0
o,l,a,7,1,INTERNAL,0
o,l,d,4,1,INTERNAL,0
o,l,d,7,1,INTERNAL,0
o,l,s,1,1,INTERNAL,0
o,l,s,7,1,INTERNAL,0
o,l,y,2,1,INTERNAL,0
o,r,ch,5,1,INTERNAL,0
o,r,ch,7,1,INTERNAL,0
o,r,y,1,1,INTERNAL,0
t,SPACE,ch,8,1,BOUNDARY,1
t,ch,o,7,1,INTERNAL,0
t,ch,a,7,1,INTERNAL,0
t,ch,e,7,1,INTERNAL,0
t,ch,y,2,1,INTERNAL,0
t,sh,o,7,1,INTERNAL,0
t,o,ch,5,1,INTERNAL,0
t,o,d,7,1,INTERNAL,0
t,o,e,7,1,INTERNAL,0
t,o,l,3,1,INTERNAL,0
t,a,i,8,1,INTERNAL,0
t,e,e,6,1,INTERNAL,0
