design,model,metric,mean,p2_5,p97_5
exact_length_conditioned_START_END,uni,A2,0.034012121212121216,0.016835016835016835,0.05387205387205387
exact_length_conditioned_START_END,uni,HerbalA_outside_A2,0.059869360269360274,0.037037037037037035,0.08754208754208755
exact_length_conditioned_START_END,uni,VM_outside_HerbalA,0.029816835016835016,0.013468013468013467,0.050505050505050504
exact_length_conditioned_START_END,uni,Unattested,0.8763016835016835,0.8484848484848485,0.9023569023569024
exact_length_conditioned_START_END,uni,HerbalA_total,0.09388148148148148,0.06734006734006734,0.12121212121212122
exact_length_conditioned_START_END,uni,VM_total,0.12369831649831652,0.09764309764309764,0.15151515151515152
exact_length_conditioned_START_END,uni,Outside_A2_total,0.08968619528619529,0.06060606060606061,0.11784511784511785
exact_length_conditioned_START_END,uni,Generated_types,286.4046,281.0,291.0
exact_length_conditioned_START_END,uni,A2_type_rate,0.024535880110280003,0.013793103448275862,0.038461538461538464
exact_length_conditioned_START_END,uni,HerbalA_type_rate,0.07785421116957457,0.05555555555555555,0.10380622837370242
exact_length_conditioned_START_END,uni,VM_type_rate,0.10619672611904366,0.08013937282229965,0.13494809688581316
exact_length_conditioned_START_END,uni,Hapax,277.9596,269.0,286.0
exact_length_conditioned_START_END,bi,A2,0.4865528619528619,0.4377104377104377,0.5353535353535354
exact_length_conditioned_START_END,bi,HerbalA_outside_A2,0.23714882154882153,0.1919191919191919,0.28619528619528617
exact_length_conditioned_START_END,bi,VM_outside_HerbalA,0.04888215488215489,0.026936026936026935,0.07407407407407407
exact_length_conditioned_START_END,bi,Unattested,0.22741616161616163,0.18855218855218855,0.265993265993266
exact_length_conditioned_START_END,bi,HerbalA_total,0.7237016835016835,0.6835016835016835,0.7643097643097643
exact_length_conditioned_START_END,bi,VM_total,0.7725838383838384,0.734006734006734,0.8114478114478114
exact_length_conditioned_START_END,bi,Outside_A2_total,0.28603097643097647,0.2356902356902357,0.3367003367003367
exact_length_conditioned_START_END,bi,Generated_types,186.8122,174.0,200.0
exact_length_conditioned_START_END,bi,A2_type_rate,0.28237711345822847,0.24083769633507854,0.32417953667953664
exact_length_conditioned_START_END,bi,HerbalA_type_rate,0.5739335745161893,0.5193370165745856,0.6271294534763057
exact_length_conditioned_START_END,bi,VM_type_rate,0.6470696384046587,0.5918337157348146,0.7016574585635359
exact_length_conditioned_START_END,bi,Hapax,147.7426,132.0,164.0
exact_length_conditioned_START_END,tri,A2,0.6482148148148148,0.5993265993265994,0.6936026936026936
exact_length_conditioned_START_END,tri,HerbalA_outside_A2,0.19027542087542088,0.14814814814814814,0.2356902356902357
exact_length_conditioned_START_END,tri,VM_outside_HerbalA,0.03772727272727273,0.016835016835016835,0.06060606060606061
exact_length_conditioned_START_END,tri,Unattested,0.12378249158249159,0.09427609427609428,0.15488215488215487
exact_length_conditioned_START_END,tri,HerbalA_total,0.8384902356902356,0.8013468013468014,0.8720538720538721
exact_length_conditioned_START_END,tri,VM_total,0.8762175084175083,0.845117845117845,0.9057239057239058
exact_length_conditioned_START_END,tri,Outside_A2_total,0.22800269360269357,0.18518518518518517,0.27272727272727276
exact_length_conditioned_START_END,tri,Generated_types,171.7054,160.0,184.0
exact_length_conditioned_START_END,tri,A2_type_rate,0.4546329922191149,0.4046242774566474,0.5060259330002937
exact_length_conditioned_START_END,tri,HerbalA_type_rate,0.7333985633211104,0.6802325581395349,0.7853107344632768
exact_length_conditioned_START_END,tri,VM_type_rate,0.7934530267240417,0.7430167597765364,0.8411764705882353
exact_length_conditioned_START_END,tri,Hapax,123.1972,108.0,139.0
free_length_START_END,uni,A2,0.1302148148148148,0.09427609427609428,0.1717171717171717
free_length_START_END,uni,HerbalA_outside_A2,0.1416107744107744,0.10101010101010101,0.18181818181818182
free_length_START_END,uni,VM_outside_HerbalA,0.04822558922558923,0.02356902356902357,0.07407407407407407
free_length_START_END,uni,Unattested,0.6799488215488215,0.6262626262626263,0.7306397306397306
free_length_START_END,uni,HerbalA_total,0.2718255892255892,0.2222222222222222,0.3232323232323232
free_length_START_END,uni,VM_total,0.3200511784511785,0.26936026936026936,0.37373737373737376
free_length_START_END,uni,Outside_A2_total,0.18983636363636364,0.1447811447811448,0.2356902356902357
free_length_START_END,uni,Generated_types,228.3048,214.0,243.0
free_length_START_END,uni,A2_type_rate,0.043216157521992545,0.029166666666666667,0.0593607305936073
free_length_START_END,uni,HerbalA_type_rate,0.12919974166391807,0.1,0.16157530428319236
free_length_START_END,uni,VM_type_rate,0.16791284542781632,0.13247716894977168,0.20642201834862386
free_length_START_END,uni,Hapax,207.2558,189.0,224.0
free_length_START_END,uni,Mean_length,3.987709090909091,3.605976430976431,4.397306397306397
free_length_START_END,uni,SD_length,3.428986630950051,2.9126802624154107,3.9930512908994285
free_length_START_END,uni,One_char_rate,0.2504787878787879,0.20202020202020202,0.2996632996632997
free_length_START_END,uni,Eight_plus_rate,0.13254612794612794,0.09427609427609428,0.1717171717171717
free_length_START_END,bi,A2,0.5276915824915824,0.4713804713804714,0.5824915824915825
