D,E,F,G,total,observed
D:2,E:1 E:2,F:1 F:3,G:2,99,1
D:2,E:1 E:2,F:1 G:2,F:3,103,0
D:2,E:1 E:2,F:3 G:2,F:1,104,0
D:2,E:1 F:1,E:2 F:3,G:2,107,0
D:2,E:1 F:1,E:2 G:2,F:3,111,0
D:2,E:1 F:1,F:3 G:2,E:2,110,0
D:2,E:1 F:3,E:2 F:1,G:2,107,0
D:2,E:1 F:3,E:2 G:2,F:1,111,0
D:2,E:1 F:3,F:1 G:2,E:2,109,0
D:2,E:1 G:2,E:2 F:1,F:3,106,0
D:2,E:1 G:2,E:2 F:3,F:1,106,0
D:2,E:1 G:2,F:1 F:3,E:2,104,0
D:2,E:2 F:1,E:1 F:3,G:2,107,0
D:2,E:2 F:1,E:1 G:2,F:3,106,0
D:2,E:2 F:1,F:3 G:2,E:1,106,0
D:2,E:2 F:3,E:1 F:1,G:2,103,0
D:2,E:2 F:3,E:1 G:2,F:1,105,0
D:2,E:2 F:3,F:1 G:2,E:1,104,0
D:2,E:2 G:2,E:1 F:1,F:3,105,0
D:2,E:2 G:2,E:1 F:3,F:1,108,0
D:2,E:2 G:2,F:1 F:3,E:1,102,0
D:2,F:1 F:3,E:1 E:2,G:2,107,0
D:2,F:1 F:3,E:1 G:2,E:2,107,0
D:2,F:1 F:3,E:2 G:2,E:1,108,0
D:2,F:1 G:2,E:1 E:2,F:3,112,0
D:2,F:1 G:2,E:1 F:3,E:2,113,0
D:2,F:1 G:2,E:2 F:3,E:1,109,0
D:2,F:3 G:2,E:1 E:2,F:1,109,0
D:2,F:3 G:2,E:1 F:1,E:2,107,0
D:2,F:3 G:2,E:2 F:1,E:1,106,0
E:1,D:2 E:2,F:1 F:3,G:2,106,0
E:1,D:2 E:2,F:1 G:2,F:3,110,0
E:1,D:2 E:2,F:3 G:2,F:1,111,0
E:1,D:2 F:1,E:2 F:3,G:2,108,0
E:1,D:2 F:1,E:2 G:2,F:3,112,0
E:1,D:2 F:1,F:3 G:2,E:2,111,0
E:1,D:2 F:3,E:2 F:1,G:2,108,0
E:1,D:2 F:3,E:2 G:2,F:1,112,0
E:1,D:2 F:3,F:1 G:2,E:2,110,0
E:1,D:2 G:2,E:2 F:1,F:3,111,0
E:1,D:2 G:2,E:2 F:3,F:1,111,0
E:1,D:2 G:2,F:1 F:3,E:2,109,0
E:1,E:2 F:1,D:2 F:3,G:2,108,0
E:1,E:2 F:1,D:2 G:2,F:3,109,0
E:1,E:2 F:1,F:3 G:2,D:2,111,0
E:1,E:2 F:3,D:2 F:1,G:2,103,0
E:1,E:2 F:3,D:2 G:2,F:1,108,0
E:1,E:2 F:3,F:1 G:2,D:2,109,0
E:1,E:2 G:2,D:2 F:1,F:3,105,0
E:1,E:2 G:2,D:2 F:3,F:1,109,0
E:1,E:2 G:2,F:1 F:3,D:2,107,0
E:1,F:1 F:3,D:2 E:2,G:2,110,0
E:1,F:1 F:3,D:2 G:2,E:2,110,0
E:1,F:1 F:3,E:2 G:2,D:2,113,0
E:1,F:1 G:2,D:2 E:2,F:3,115,0
E:1,F:1 G:2,D:2 F:3,E:2,114,0
E:1,F:1 G:2,E:2 F:3,D:2,114,0
E:1,F:3 G:2,D:2 E:2,F:1,112,0
E:1,F:3 G:2,D:2 F:1,E:2,107,0
E:1,F:3 G:2,E:2 F:1,D:2,111,0
E:2,D:2 E:1,F:1 F:3,G:2,107,0
E:2,D:2 E:1,F:1 G:2,F:3,111,0
E:2,D:2 E:1,F:3 G:2,F:1,112,0
E:2,D:2 F:1,E:1 F:3,G:2,111,0
E:2,D:2 F:1,E:1 G:2,F:3,110,0
E:2,D:2 F:1,F:3 G:2,E:1,110,0
E:2,D:2 F:3,E:1 F:1,G:2,108,0
E:2,D:2 F:3,E:1 G:2,F:1,110,0
E:2,D:2 F:3,F:1 G:2,E:1,109,0
E:2,D:2 G:2,E:1 F:1,F:3,111,0
E:2,D:2 G:2,E:1 F:3,F:1,114,0
E:2,D:2 G:2,F:1 F:3,E:1,108,0
E:2,E:1 F:1,D:2 F:3,G:2,111,0
E:2,E:1 F:1,D:2 G:2,F:3,112,0
E:2,E:1 F:1,F:3 G:2,D:2,114,0
E:2,E:1 F:3,D:2 F:1,G:2,107,0
E:2,E:1 F:3,D:2 G:2,F:1,112,0
E:2,E:1 F:3,F:1 G:2,D:2,113,0
E:2,E:1 G:2,D:2 F:1,F:3,106,0
E:2,E:1 G:2,D:2 F:3,F:1,110,0
E:2,E:1 G:2,F:1 F:3,D:2,108,0
E:2,F:1 F:3,D:2 E:1,G:2,108,0
E:2,F:1 F:3,D:2 G:2,E:1,109,0
E:2,F:1 F:3,E:1 G:2,D:2,111,0
E:2,F:1 G:2,D:2 E:1,F:3,113,0
E:2,F:1 G:2,D:2 F:3,E:1,113,0
E:2,F:1 G:2,E:1 F:3,D:2,117,0
E:2,F:3 G:2,D:2 E:1,F:1,110,0
E:2,F:3 G:2,D:2 F:1,E:1,106,0
E:2,F:3 G:2,E:1 F:1,D:2,111,0
F:1,D:2 E:1,E:2 F:3,G:2,107,0
F:1,D:2 E:1,E:2 G:2,F:3,111,0
F:1,D:2 E:1,F:3 G:2,E:2,110,0
F:1,D:2 E:2,E:1 F:3,G:2,109,0
F:1,D:2 E:2,E:1 G:2,F:3,108,0
F:1,D:2 E:2,F:3 G:2,E:1,108,0
F:1,D:2 F:3,E:1 E:2,G:2,108,0
F:1,D:2 F:3,E:1 G:2,E:2,108,0
F:1,D:2 F:3,E:2 G:2,E:1,109,0
F:1,D:2 G:2,E:1 E:2,F:3,111,0
F:1,D:2 G:2,E:1 F:3,E:2,112,0
F:1,D:2 G:2,E:2 F:3,E:1,108,0
F:1,E:1 E:2,D:2 F:3,G:2,103,0
F:1,E:1 E:2,D:2 G:2,F:3,104,0
F:1,E:1 E:2,F:3 G:2,D:2,106,0
F:1,E:1 F:3,D:2 E:2,G:2,110,0
F:1,E:1 F:3,D:2 G:2,E:2,110,0
F:1,E:1 F:3,E:2 G:2,D:2,113,0
F:1,E:1 G:2,D:2 E:2,F:3,109,0
F:1,E:1 G:2,D:2 F:3,E:2,108,0
F:1,E:1 G:2,E:2 F:3,D:2,108,0
F:1,E:2 F:3,D:2 E:1,G:2,104,0
F:1,E:2 F:3,D:2 G:2,E:1,105,0
F:1,E:2 F:3,E:1 G:2,D:2,107,0
F:1,E:2 G:2,D:2 E:1,F:3,106,0
F:1,E:2 G:2,D:2 F:3,E:1,106,0
F:1,E:2 G:2,E:1 F:3,D:2,110,0
F:1,F:3 G:2,D:2 E:1,E:2,108,0
F:1,F:3 G:2,D:2 E:2,E:1,109,0
F:1,F:3 G:2,E:1 E:2,D:2,111,0
F:3,D:2 E:1,E:2 F:1,G:2,110,0
F:3,D:2 E:1,E:2 G:2,F:1,114,0
F:3,D:2 E:1,F:1 G:2,E:2,112,0
F:3,D:2 E:2,E:1 F:1,G:2,109,0
F:3,D:2 E:2,E:1 G:2,F:1,111,0
F:3,D:2 E:2,F:1 G:2,E:1,110,0
F:3,D:2 F:1,E:1 E:2,G:2,111,0
F:3,D:2 F:1,E:1 G:2,E:2,111,0
F:3,D:2 F:1,E:2 G:2,E:1,112,0
F:3,D:2 G:2,E:1 E:2,F:1,114,0
F:3,D:2 G:2,E:1 F:1,E:2,112,0
F:3,D:2 G:2,E:2 F:1,E:1,111,0
F:3,E:1 E:2,D:2 F:1,G:2,102,0
F:3,E:1 E:2,D:2 G:2,F:1,107,0
F:3,E:1 E:2,F:1 G:2,D:2,108,0
F:3,E:1 F:1,D:2 E:2,G:2,113,0
F:3,E:1 F:1,D:2 G:2,E:2,113,0
F:3,E:1 F:1,E:2 G:2,D:2,116,0
F:3,E:1 G:2,D:2 E:2,F:1,112,0
F:3,E:1 G:2,D:2 F:1,E:2,107,0
F:3,E:1 G:2,E:2 F:1,D:2,111,0
F:3,E:2 F:1,D:2 E:1,G:2,108,0
F:3,E:2 F:1,D:2 G:2,E:1,109,0
F:3,E:2 F:1,E:1 G:2,D:2,111,0
F:3,E:2 G:2,D:2 E:1,F:1,109,0
F:3,E:2 G:2,D:2 F:1,E:1,105,0
F:3,E:2 G:2,E:1 F:1,D:2,110,0
F:3,F:1 G:2,D:2 E:1,E:2,114,0
F:3,F:1 G:2,D:2 E:2,E:1,115,0
F:3,F:1 G:2,E:1 E:2,D:2,117,0
G:2,D:2 E:1,E:2 F:1,F:3,110,0
G:2,D:2 E:1,E:2 F:3,F:1,110,0
G:2,D:2 E:1,F:1 F:3,E:2,108,0
G:2,D:2 E:2,E:1 F:1,F:3,109,0
G:2,D:2 E:2,E:1 F:3,F:1,112,0
G:2,D:2 E:2,F:1 F:3,E:1,106,0
G:2,D:2 F:1,E:1 E:2,F:3,111,0
G:2,D:2 F:1,E:1 F:3,E:2,112,0
G:2,D:2 F:1,E:2 F:3,E:1,108,0
G:2,D:2 F:3,E:1 E:2,F:1,111,0
G:2,D:2 F:3,E:1 F:1,E:2,109,0
G:2,D:2 F:3,E:2 F:1,E:1,108,0
G:2,E:1 E:2,D:2 F:1,F:3,102,0
G:2,E:1 E:2,D:2 F:3,F:1,106,0
G:2,E:1 E:2,F:1 F:3,D:2,104,0
G:2,E:1 F:1,D:2 E:2,F:3,113,0
G:2,E:1 F:1,D:2 F:3,E:2,112,0
G:2,E:1 F:1,E:2 F:3,D:2,112,0
G:2,E:1 F:3,D:2 E:2,F:1,113,0
G:2,E:1 F:3,D:2 F:1,E:2,108,0
G:2,E:1 F:3,E:2 F:1,D:2,112,0
G:2,E:2 F:1,D:2 E:1,F:3,108,0
G:2,E:2 F:1,D:2 F:3,E:1,108,0
G:2,E:2 F:1,E:1 F:3,D:2,112,0
G:2,E:2 F:3,D:2 E:1,F:1,107,0
G:2,E:2 F:3,D:2 F:1,E:1,103,0
G:2,E:2 F:3,E:1 F:1,D:2,108,0
G:2,F:1 F:3,D:2 E:1,E:2,109,0
G:2,F:1 F:3,D:2 E:2,E:1,110,0
G:2,F:1 F:3,E:1 E:2,D:2,112,0
