D,E,F,G,D_new,E_new,F_new,G_new,new_active_compartments,observed_allocation
D:2,E:1 E:2,F:1 F:3,G:2,17,36,29,17,99,1
D:2,E:1 E:2,F:1 G:2,F:3,17,36,29,21,103,0
D:2,E:1 E:2,F:3 G:2,F:1,17,36,32,19,104,0
D:2,E:1 F:1,E:2 F:3,G:2,17,38,33,17,105,0
D:2,E:1 F:1,E:2 G:2,F:3,17,38,33,21,109,0
D:2,E:1 F:1,F:3 G:2,E:2,17,38,32,21,108,0
D:2,E:1 F:3,E:2 F:1,G:2,17,41,31,17,106,0
D:2,E:1 F:3,E:2 G:2,F:1,17,41,33,19,110,0
D:2,E:1 F:3,F:1 G:2,E:2,17,41,29,21,108,0
D:2,E:1 G:2,E:2 F:1,F:3,17,36,31,21,105,0
D:2,E:1 G:2,E:2 F:3,F:1,17,36,33,19,105,0
D:2,E:1 G:2,F:1 F:3,E:2,17,36,29,21,103,0
D:2,E:2 F:1,E:1 F:3,G:2,17,42,30,17,106,0
D:2,E:2 F:1,E:1 G:2,F:3,17,42,25,21,105,0
D:2,E:2 F:1,F:3 G:2,E:1,17,42,32,14,105,0
D:2,E:2 F:3,E:1 F:1,G:2,17,43,25,17,102,0
D:2,E:2 F:3,E:1 G:2,F:1,17,43,25,19,104,0
D:2,E:2 F:3,F:1 G:2,E:1,17,43,29,14,103,0
D:2,E:2 G:2,E:1 F:1,F:3,17,42,25,21,105,0
D:2,E:2 G:2,E:1 F:3,F:1,17,42,30,19,108,0
D:2,E:2 G:2,F:1 F:3,E:1,17,42,29,14,102,0
D:2,F:1 F:3,E:1 E:2,G:2,17,43,29,17,106,0
D:2,F:1 F:3,E:1 G:2,E:2,17,43,25,21,106,0
D:2,F:1 F:3,E:2 G:2,E:1,17,43,33,14,107,0
D:2,F:1 G:2,E:1 E:2,F:3,17,44,29,21,111,0
D:2,F:1 G:2,E:1 F:3,E:2,17,44,30,21,112,0
D:2,F:1 G:2,E:2 F:3,E:1,17,44,33,14,108,0
D:2,F:3 G:2,E:1 E:2,F:1,17,43,29,19,108,0
D:2,F:3 G:2,E:1 F:1,E:2,17,43,25,21,106,0
D:2,F:3 G:2,E:2 F:1,E:1,17,43,31,14,105,0
E:1,D:2 E:2,F:1 F:3,G:2,14,45,29,17,105,0
E:1,D:2 E:2,F:1 G:2,F:3,14,45,29,21,109,0
E:1,D:2 E:2,F:3 G:2,F:1,14,45,32,19,110,0
E:1,D:2 F:1,E:2 F:3,G:2,14,42,33,17,106,0
E:1,D:2 F:1,E:2 G:2,F:3,14,42,33,21,110,0
E:1,D:2 F:1,F:3 G:2,E:2,14,42,32,21,109,0
E:1,D:2 F:3,E:2 F:1,G:2,14,45,31,17,107,0
E:1,D:2 F:3,E:2 G:2,F:1,14,45,33,19,111,0
E:1,D:2 F:3,F:1 G:2,E:2,14,45,29,21,109,0
E:1,D:2 G:2,E:2 F:1,F:3,14,44,31,21,110,0
E:1,D:2 G:2,E:2 F:3,F:1,14,44,33,19,110,0
E:1,D:2 G:2,F:1 F:3,E:2,14,44,29,21,108,0
E:1,E:2 F:1,D:2 F:3,G:2,14,42,34,17,107,0
E:1,E:2 F:1,D:2 G:2,F:3,14,42,31,21,108,0
E:1,E:2 F:1,F:3 G:2,D:2,14,42,32,22,110,0
E:1,E:2 F:3,D:2 F:1,G:2,14,43,28,17,102,0
E:1,E:2 F:3,D:2 G:2,F:1,14,43,31,19,107,0
E:1,E:2 F:3,F:1 G:2,D:2,14,43,29,22,108,0
E:1,E:2 G:2,D:2 F:1,F:3,14,42,28,21,105,0
E:1,E:2 G:2,D:2 F:3,F:1,14,42,34,19,109,0
E:1,E:2 G:2,F:1 F:3,D:2,14,42,29,22,107,0
E:1,F:1 F:3,D:2 E:2,G:2,14,43,35,17,109,0
E:1,F:1 F:3,D:2 G:2,E:2,14,43,31,21,109,0
E:1,F:1 F:3,E:2 G:2,D:2,14,43,33,22,112,0
E:1,F:1 G:2,D:2 E:2,F:3,14,44,35,21,114,0
E:1,F:1 G:2,D:2 F:3,E:2,14,44,34,21,113,0
E:1,F:1 G:2,E:2 F:3,D:2,14,44,33,22,113,0
E:1,F:3 G:2,D:2 E:2,F:1,14,43,35,19,111,0
E:1,F:3 G:2,D:2 F:1,E:2,14,43,28,21,106,0
